Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (N),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (N/W),Overall Efficiency (N/W),Left Load Cell (mV),Right Load Cell (mV),Thrust Load Cell (mV),Vibration (g),Burst Current Cutoff (A),Pin State ESC,Pin State Servo1,Pin State Servo2,Pin State Servo3,Debug 0,Debug 1,Debug 2,Debug 3,49D0 Temp (ºC),Debug 3,App message,
0,1000,,,,-0.02646484375,0.02490234375,-0.9767578125,0.0002073424388155185,-0.059649762019735895,13.96354999736875,0.03127056941309075,0,0,0.3401702954748324,0,0,0,0,-0.1622209269300437,-0.046263371300316575,-0.39591313422619423,0.09033203125,0.030199312917347752,0,1,1,1,0,0,0,0,26.3125,0,,
3.4394150947440068,1050,,,,-0.0294921875,0.02734375,-0.9763671875,0.00030808580646104756,-0.05495965750565271,13.96302510597437,0.03671083196747224,0,63,0.4127581920231004,0.002801086246394219,0.6673491094179709,806.0877377883661,0.10093854198662804,-0.16322461638412167,-0.045918570707469526,-0.39641152081119124,0.09404296875,0.03420960301521808,0.05,0.85,1,1,0,0,0,0,26.375,0,,
6.387725594745396,1100,,,,-0.0298828125,0.02265625,-0.983984375,-0.0031298332619515124,0.0608581518062365,13.962172098360483,0.08495113996949641,0,1009,1.0446769992873746,0.3307340645527179,31.67034053582679,0.18410348058091514,0.05824104257294049,-0.15504275142337254,-0.033685476352133426,-0.40871871829291856,0.1044921875,0.06500850981009557,0.05,0.8,1,1,0,0,0,0,26.446875,0,,
9.341238344744601,1150,,,,-0.0302734375,0.0103515625,-0.98720703125,-0.007703934369167127,0.28532359533695617,13.958185395697893,0.20308810777361294,0,1733,2.7078148549723187,1.3978286951193766,51.62682964259757,0.2041482788551693,0.10538605280236954,-0.14278685177864858,-0.01867078698658706,-0.43257118586909915,0.1265625,0.14525996093285382,0.05,0.8,1,1,0,0,0,0,26.5,0,,
12.321444594743046,1200,,,,-0.02822265625,0.01474609375,-0.98583984375,-0.01340207287674992,0.6262970598904718,13.952586339432179,0.4067313069508713,0,2364,5.513635587618364,3.317143091512893,60.17224940958787,0.18882423807678123,0.11360162561755585,-0.12397105729047078,-0.0032328038465695074,-0.468804195189697,0.13134765625,0.29593353343074036,0.1,0.8,1,1,0,0,0,0,26.453125,0,,
15.2987133447453,1250,,,,-0.0296875,0.01318359375,-0.98603515625,-0.020718443838452824,1.0622446551210232,13.942700768049416,0.7281292001445108,0,2988,10.042094025561429,6.483563228936411,64.56469050230774,0.16384123273302909,0.10578071985044409,-0.10226684179842478,0.01884965596537047,-0.5151294812408106,0.18330078125,0.5426065058561266,0.05,0.8,1,1,0,0,0,0,26.428125,0,,
18.406808844745065,1300,,,,-0.02958984375,0.018359375,-0.99052734375,-0.029747090202040184,1.574531790414021,13.929891953235156,1.2114451176649295,0,3575,16.76490519459817,11.13538774741958,66.42146062157953,0.14139937809027203,0.09391921587003409,-0.07581338779457777,0.04640419893451425,-0.5695668685377927,0.317578125,0.9256641893798984,0.05,0.9,1,1,0,0,0,0,26.375,0,,
21.389790094745074,1350,,,,-0.03056640625,0.01396484375,-0.98564453125,-0.039561030719235994,2.145809668760832,13.91079210025616,1.8468201750092965,0,4125,25.558174640439184,17.089280678292972,66.86556727806132,0.12556621369791682,0.08396110181484422,-0.04655023970049085,0.07588696003722546,-0.6302728144327192,0.6349609375,1.4465531871786916,0.05,0.8,1,1,0,0,0,0,26.3125,0,,
24.362089344743545,1400,,,,-0.04326171875,0.02265625,-0.989453125,-0.05040808174475222,2.75544215388182,13.889576592829744,2.643399628400267,0,4647,36.594158486583915,24.530126036206703,67.03382633961998,0.11232981137230678,0.07529811479788287,-0.013914928864764647,0.10820487889717068,-0.6950544523365717,0.4197265625,2.121486737407314,0.05,0.9,1,1,0,0,0,0,26.3125,0,,
27.335835344744662,1450,,,,-0.02177734375,0.0103515625,-0.9912109375,-0.06144165191389489,3.3897126041548744,13.863999630409879,3.5975859473563423,0,5126,49.75030676727336,32.98038242078779,66.29187117533701,0.10278001773586168,0.06813458214911507,0.01985996126090458,0.14054603984357433,-0.762454204885106,0.3828125,2.9549217857581302,0.1,0.95,1,1,0,0,0,0,26.3125,0,,
